IDP;Model;Capacity;Color;Grade;Last purchase price in USD;Floor Price 
31180;iPhone 6S;16;Silver;Grade C;$126.47;120.77 
74815;iPhone 6S;32;Silver;Grade C;$150.98;142.46 
33291;iPhone 6S;64;Silver;Grade C;$173.53;162.42 
43918;iPhone 6S;128;Silver;Grade C;$186.27;173.69 
31182;iPhone 6S;16;Pink;Grade C;$126.47;120.77 
74805;iPhone 6S;32;Pink;Grade C;$150.98;142.46 
33316;iPhone 6S;64;Pink;Grade C;$173.53;162.42 
43903;iPhone 6S;128;Pink;Grade C;$186.27;173.69 
30743;iPhone 6S;16;Gold;Grade C;$126.47;120.77 
74810;iPhone 6S;32;Gold;Grade C;$150.98;142.46 
33280;iPhone 6S;64;Gold;Grade C;$173.53;162.42 
43932;iPhone 6S;128;Gold;Grade C;$186.27;173.69 
31178;iPhone 6S;16;Grey;Grade C;$126.47;120.77 
74798;iPhone 6S;32;Grey;Grade C;$150.98;142.46 
33259;iPhone 6S;64;Grey;Grade C;$173.53;162.42 
43914;iPhone 6S;128;Grey;Grade C;$186.27;173.69 
26387;iPhone 6S;16;Silver;Grade D;$126.47;120.77 
74816;iPhone 6S;32;Silver;Grade D;$150.98;142.46 
33293;iPhone 6S;64;Silver;Grade D;$173.53;162.42 
43919;iPhone 6S;128;Silver;Grade D;$186.27;173.69 
31253;iPhone 6S;16;Pink;Grade D;$126.47;120.77 
74806;iPhone 6S;32;Pink;Grade D;$150.98;142.46 
33318;iPhone 6S;64;Pink;Grade D;$173.53;162.42 
43904;iPhone 6S;128;Pink;Grade D;$186.27;173.69 
31013;iPhone 6S;16;Gold;Grade D;$126.47;120.77 
74811;iPhone 6S;32;Gold;Grade D;$150.98;142.46 
33283;iPhone 6S;64;Gold;Grade D;$173.53;162.42 
43934;iPhone 6S;128;Gold;Grade D;$186.27;173.69 
31214;iPhone 6S;16;Grey;Grade D;$126.47;120.77 
74799;iPhone 6S;32;Grey;Grade D;$150.98;142.46 
33265;iPhone 6S;64;Grey;Grade D;$173.53;162.42 
43915;iPhone 6S;128;Grey;Grade D;$186.27;173.69 
26386;iPhone 6S;16;Silver;Grade B;$146.08;138.12 
74814;iPhone 6S;32;Silver;Grade B;$171.84;160.92 
38582;iPhone 6S;64;Silver;Grade B;$193.14;179.77 
43917;iPhone 6S;128;Silver;Grade B;$205.88;191.04 
31252;iPhone 6S;16;Pink;Grade B;$146.08;138.12 
74803;iPhone 6S;32;Pink;Grade B;$170.59;159.81 
33310;iPhone 6S;64;Pink;Grade B;$193.14;179.77 
43901;iPhone 6S;128;Pink;Grade B;$205.88;191.04 
38975;iPhone 6S;16;Gold;Grade B;$146.08;138.12 
74809;iPhone 6S;32;Gold;Grade B;$170.59;159.81 
39252;iPhone 6S;64;Gold;Grade B;$193.14;179.77 
43933;iPhone 6S;128;Gold;Grade B;$205.88;191.04 
31208;iPhone 6S;16;Grey;Grade B;$146.08;138.12 
74797;iPhone 6S;32;Grey;Grade B;$170.59;159.81 
41182;iPhone 6S;64;Grey;Grade B;$193.14;179.77 
43913;iPhone 6S;128;Grey;Grade B;$205.88;191.04 
7207;iPhone 6S;16;Silver;Grade A;$176.64;165.17 
74813;iPhone 6S;32;Silver;Grade A;$200.64;186.41 
33289;iPhone 6S;64;Silver;Grade A;$222.55;205.80 
51805;iPhone 6S;128;Silver;Grade A;$235.20;216.99 
31261;iPhone 6S;16;Pink;Grade A;$175.49;164.15 
74802;iPhone 6S;32;Pink;Grade A;$200.64;186.41 
37356;iPhone 6S;64;Pink;Grade A;$222.55;205.80 
51808;iPhone 6S;128;Pink;Grade A;$235.29;217.07 
31009;iPhone 6S;16;Gold;Grade A;$175.42;164.09 
74808;iPhone 6S;32;Gold;Grade A;$200.64;186.41 
49225;iPhone 6S;64;Gold;Grade A;$222.55;205.80 
51204;iPhone 6S;128;Gold;Grade A;$235.20;216.99 
33282;iPhone 6S;16;Grey;Grade A;$175.42;164.09 
74795;iPhone 6S;32;Grey;Grade A;$200.00;185.84 
51806;iPhone 6S;64;Grey;Grade A;$222.55;205.80 
51807;iPhone 6S;128;Grey;Grade A;$235.20;216.99 
16271;iPhone 4S;8;White;Grade C;$45.00;48.67 
7064;iPhone 4S;16;White;Grade C;$28.80;34.34 
19575;iPhone 4S;32;White;Grade C;$35.52;40.28 
27996;iPhone 4S;8;Black;Grade C;$24.00;30.09 
7127;iPhone 4S;16;Black;Grade C;$28.80;34.34 
19571;iPhone 4S;32;Black;Grade C;$35.52;40.28 
20485;iPhone 4S;8;White;Grade D;$45.00;48.67 
30501;iPhone 4S;16;White;Grade D;$28.80;34.34 
19588;iPhone 4S;32;White;Grade D;$35.52;40.28 
29398;iPhone 4S;8;Black;Grade D;$24.00;30.09 
37573;iPhone 4S;16;Black;Grade D;$28.80;34.34 
19584;iPhone 4S;32;Black;Grade D;$35.52;40.28 
20484;iPhone 4S;8;White;Grade B;$28.80;34.34 
19371;iPhone 4S;16;White;Grade B;$28.80;34.34 
7056;iPhone 4S;32;White;Grade B;$35.52;40.28 
16270;iPhone 4S;8;Black;Grade B;$24.00;30.09 
19367;iPhone 4S;16;Black;Grade B;$28.80;34.34 
7749;iPhone 4S;32;Black;Grade B;$35.52;40.28 
20483;iPhone 4S;8;White;Grade A;;8.85 
19370;iPhone 4S;16;White;Grade A;$28.80;34.34 
19586;iPhone 4S;32;White;Grade A;;8.85 
19374;iPhone 4S;8;Black;Grade A;$50.00;53.10 
19648;iPhone 4S;16;Black;Grade A;$51.00;53.98 
19582;iPhone 4S;32;Black;Grade A;;8.85 
7040;iPhone 4;8;White;Grade C;$8.64;16.50 
7088;iPhone 4;16;White;Grade C;$14.40;21.59 
7072;iPhone 4;8;Black;Grade C;$8.64;16.50 
7750;iPhone 4;16;Black;Grade C;$14.40;21.59 
19364;iPhone 4;8;White;Grade D;$8.64;16.50 
20496;iPhone 4;16;White;Grade D;$14.40;21.59 
19580;iPhone 4;8;Black;Grade D;$8.64;16.50 
30512;iPhone 4;16;Black;Grade D;$14.40;21.59 
20495;iPhone 4;8;White;Grade B;$8.64;16.50 
20497;iPhone 4;16;White;Grade B;$14.40;21.59 
19579;iPhone 4;8;Black;Grade B;$8.64;16.50 
19351;iPhone 4;16;Black;Grade B;$14.40;21.59 
19644;iPhone 4;8;White;Grade A;;8.85 
19354;iPhone 4;16;White;Grade A;;8.85 
19358;iPhone 4;8;Black;Grade A;;8.85 
19350;iPhone 4;16;Black;Grade A;;8.85 
13454;iPhone 6;16;Grey;Grade C;$102.94;99.95 
74972;iPhone 6;32;Grey;Grade C;$107.84;104.28 
15958;iPhone 6;64;Grey;Grade C;$117.65;112.96 
15053;iPhone 6;128;Grey;Grade C;$127.45;121.64 
13455;iPhone 6;16;Silver;Grade C;$102.94;99.95 
15956;iPhone 6;64;Silver;Grade C;$117.65;112.96 
15047;iPhone 6;128;Silver;Grade C;$127.45;121.64 
29527;iPhone 6;16;Gold;Grade C;$102.94;99.95 
74995;iPhone 6;32;Gold;Grade C;$107.84;104.28 
15962;iPhone 6;64;Gold;Grade C;$117.65;112.96 
15057;iPhone 6;128;Gold;Grade C;$127.45;121.64 
68703;iPhone 6;16;Grey;Grade D;$102.94;99.95 
74982;iPhone 6;32;Grey;Grade D;$107.84;104.28 
19519;iPhone 6;64;Grey;Grade D;$117.65;112.96 
19495;iPhone 6;128;Grey;Grade D;$127.45;121.64 
19515;iPhone 6;16;Silver;Grade D;$102.94;99.95 
19527;iPhone 6;64;Silver;Grade D;$117.65;112.96 
19503;iPhone 6;128;Silver;Grade D;$127.45;121.64 
19510;iPhone 6;16;Gold;Grade D;$102.94;99.95 
74996;iPhone 6;32;Gold;Grade D;$107.84;104.28 
19523;iPhone 6;64;Gold;Grade D;$117.65;112.96 
19499;iPhone 6;128;Gold;Grade D;$127.45;121.64 
58245;iPhone 6;16;Grey;Grade B;$117.65;112.96 
74970;iPhone 6;32;Grey;Grade B;$122.55;117.30 
19518;iPhone 6;64;Grey;Grade B;$132.35;125.97 
37377;iPhone 6;128;Grey;Grade B;$148.80;140.53 
19512;iPhone 6;16;Silver;Grade B;$117.65;112.96 
