reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
19-PRE7078;;81262;Apple iPhone 4S;64;Black;A
19-PRE7082;;80768;Apple iPhone 4S;64;White;A
19-MED7086;;81261;Apple iPhone 4S;64;Black;B
19-MED7090;;80767;Apple iPhone 4S;64;White;B
19-BAS7094;;81259;Apple iPhone 4S;64;Black;C
19-BAS7098;;80765;Apple iPhone 4S;64;White;C
19-ECO7102;;81260;Apple iPhone 4S;64;Black;D
19-ECO7106;;80766;Apple iPhone 4S;64;White;D
20-PRE7109;;81247;Apple iPhone 4;32;Black;A
20-PRE7112;;81243;Apple iPhone 4;32;White;A
20-MED7115;;81246;Apple iPhone 4;32;Black;B
20-MED7118;;81242;Apple iPhone 4;32;White;B
20-BAS7121;;81240;Apple iPhone 4;32;Black;C
20-BAS7124;;81239;Apple iPhone 4;32;White;C
20-ECO7127;;81245;Apple iPhone 4;32;Black;D
20-ECO7130;;81241;Apple iPhone 4;32;White;D
28-PRE7478;;80515;Apple iPhone 7 Plus;32;Red;A
28-PRE7479;;80520;Apple iPhone 7 Plus;128;Red;A
28-PRE7480;;80525;Apple iPhone 7 Plus;256;Red;A
28-MED7496;;80514;Apple iPhone 7 Plus;32;Red;B
28-MED7497;;80519;Apple iPhone 7 Plus;128;Red;B
28-MED7498;;80524;Apple iPhone 7 Plus;256;Red;B
28-BAS7514;;80513;Apple iPhone 7 Plus;32;Red;C
28-BAS7515;;80518;Apple iPhone 7 Plus;128;Red;C
28-BAS7516;;80523;Apple iPhone 7 Plus;256;Red;C
28-ECO7532;;80512;Apple iPhone 7 Plus;32;Red;D
28-ECO7533;;80517;Apple iPhone 7 Plus;128;Red;D
28-ECO7534;;80522;Apple iPhone 7 Plus;256;Red;D
37-GOL3120;;34553;Samsung Galaxy S6;32;Gold;A
37-GOL3124;;32100;Samsung Galaxy S6;32;Gold;B
37-GOL3128;;36309;Samsung Galaxy S6;32;Gold;C
37-GOL3132;;36310;Samsung Galaxy S6;32;Gold;D
37-ECO3135;;31512;Samsung Galaxy S6;32;White;D
38-PRE3105;;34555;Samsung Galaxy S6 Edge;32;Black;A
38-PRE3106;;71713;Samsung Galaxy S6 Edge;32;Green;A
38-PRE3107;;34554;Samsung Galaxy S6 Edge;32;White;A
38-MED3109;;31514;Samsung Galaxy S6 Edge;32;Black;B
38-MED3110;;71714;Samsung Galaxy S6 Edge;32;Green;B
38-MED3111;;31528;Samsung Galaxy S6 Edge;32;White;B
38-BAS3113;;31515;Samsung Galaxy S6 Edge;32;Black;C
38-BAS3114;;71715;Samsung Galaxy S6 Edge;32;Green;C
38-BAS3115;;31529;Samsung Galaxy S6 Edge;32;White;C
38-ECO3117;;31516;Samsung Galaxy S6 Edge;32;Black;D
38-ECO3118;;71716;Samsung Galaxy S6 Edge;32;Green;D
38-ECO3119;;31530;Samsung Galaxy S6 Edge;32;White;D
94-ECO8885;;81140;Apple Watch Series 2 Nike;;Silver;D
94-BAS8887;;81141;Apple Watch Series 2 Nike;;Silver;C
94-MED8889;;81142;Apple Watch Series 2 Nike;;Silver;B
94-PRE8891;;81143;Apple Watch Series 2 Nike;;Silver;A
94-ECO8893;;81145;Apple Watch Series 2 Nike;;Silver;D
94-BAS8895;;81146;Apple Watch Series 2 Nike;;Silver;C
94-MED8897;;81147;Apple Watch Series 2 Nike;;Silver;B
94-PRE8899;;81148;Apple Watch Series 2 Nike;;Silver;A
119-ECO8996;;80108;Apple iPad 2 Wifi + 3G;16;Silver;D
119-ECO8997;;80118;Apple iPad 2 Wifi + 3G;32;Silver;D
119-ECO8998;;80128;Apple iPad 2 Wifi + 3G;64;Silver;D
119-ECO8999;;80103;Apple iPad 2 Wifi + 3G;16;Black;D
119-ECO9000;;80113;Apple iPad 2 Wifi + 3G;32;Black;D
119-ECO9001;;80123;Apple iPad 2 Wifi + 3G;64;Black;D
119-BAS9002;;80107;Apple iPad 2 Wifi + 3G;16;Silver;C
119-BAS9003;;80117;Apple iPad 2 Wifi + 3G;32;Silver;C
119-BAS9004;;80127;Apple iPad 2 Wifi + 3G;64;Silver;C
119-BAS9005;;80102;Apple iPad 2 Wifi + 3G;16;Black;C
119-BAS9006;;80112;Apple iPad 2 Wifi + 3G;32;Black;C
119-BAS9007;;80122;Apple iPad 2 Wifi + 3G;64;Black;C
119-MED9008;;80106;Apple iPad 2 Wifi + 3G;16;Silver;B
119-MED9009;;80116;Apple iPad 2 Wifi + 3G;32;Silver;B
119-MED9010;;80126;Apple iPad 2 Wifi + 3G;64;Silver;B
119-MED9011;;80101;Apple iPad 2 Wifi + 3G;16;Black;B
119-MED9012;;80111;Apple iPad 2 Wifi + 3G;32;Black;B
119-MED9013;;80121;Apple iPad 2 Wifi + 3G;64;Black;B
119-PRE9014;;80105;Apple iPad 2 Wifi + 3G;16;Silver;A
119-PRE9015;;80115;Apple iPad 2 Wifi + 3G;32;Silver;A
119-PRE9016;;80125;Apple iPad 2 Wifi + 3G;64;Silver;A
119-PRE9017;;80100;Apple iPad 2 Wifi + 3G;16;Black;A
119-PRE9018;;80110;Apple iPad 2 Wifi + 3G;32;Black;A
119-PRE9019;;80120;Apple iPad 2 Wifi + 3G;64;Black;A
123-PRE9100;;80235;Apple iPad Air 2 Wifi + 4G;16;Silver;A
123-PRE9101;;80250;Apple iPad Air 2 Wifi + 4G;64;Silver;A
123-PRE9102;;80220;Apple iPad Air 2 Wifi + 4G;128;Silver;A
123-PRE9103;;80225;Apple iPad Air 2 Wifi + 4G;16;Black;A
123-PRE9104;;80240;Apple iPad Air 2 Wifi + 4G;64;Black;A
123-PRE9105;;80210;Apple iPad Air 2 Wifi + 4G;128;Black;A
123-GOL9106;;80230;Apple iPad Air 2 Wifi + 4G;16;Gold;A
123-GOL9107;;80245;Apple iPad Air 2 Wifi + 4G;64;Gold;A
123-GOL9108;;80215;Apple iPad Air 2 Wifi + 4G;128;Gold;A
123-MED9109;;80236;Apple iPad Air 2 Wifi + 4G;16;Silver;B
123-MED9110;;80251;Apple iPad Air 2 Wifi + 4G;64;Silver;B
123-MED9111;;80221;Apple iPad Air 2 Wifi + 4G;128;Silver;B
123-MED9112;;80226;Apple iPad Air 2 Wifi + 4G;16;Black;B
123-MED9113;;80241;Apple iPad Air 2 Wifi + 4G;64;Black;B
123-MED9114;;80211;Apple iPad Air 2 Wifi + 4G;128;Black;B
123-GOL9115;;80231;Apple iPad Air 2 Wifi + 4G;16;Gold;B
123-GOL9116;;80246;Apple iPad Air 2 Wifi + 4G;64;Gold;B
123-GOL9117;;80216;Apple iPad Air 2 Wifi + 4G;128;Gold;B
123-BAS9118;;80237;Apple iPad Air 2 Wifi + 4G;16;Silver;C
123-BAS9119;;80252;Apple iPad Air 2 Wifi + 4G;64;Silver;C
123-BAS9120;;80222;Apple iPad Air 2 Wifi + 4G;128;Silver;C
123-BAS9121;;80227;Apple iPad Air 2 Wifi + 4G;16;Black;C
123-BAS9122;;80242;Apple iPad Air 2 Wifi + 4G;64;Black;C
123-BAS9123;;80212;Apple iPad Air 2 Wifi + 4G;128;Black;C
123-GOL9124;;80232;Apple iPad Air 2 Wifi + 4G;16;Gold;C
123-GOL9125;;80247;Apple iPad Air 2 Wifi + 4G;64;Gold;C
123-GOL9126;;80217;Apple iPad Air 2 Wifi + 4G;128;Gold;C
123-ECO9127;;80238;Apple iPad Air 2 Wifi + 4G;16;Silver;D
123-ECO9128;;80253;Apple iPad Air 2 Wifi + 4G;64;Silver;D
123-ECO9129;;80223;Apple iPad Air 2 Wifi + 4G;128;Silver;D
123-ECO9130;;80228;Apple iPad Air 2 Wifi + 4G;16;Black;D
123-ECO9131;;80243;Apple iPad Air 2 Wifi + 4G;64;Black;D
123-ECO9132;;80213;Apple iPad Air 2 Wifi + 4G;128;Black;D
123-GOL9133;;80233;Apple iPad Air 2 Wifi + 4G;16;Gold;D
123-GOL9134;;80248;Apple iPad Air 2 Wifi + 4G;64;Gold;D
123-GOL9135;;80218;Apple iPad Air 2 Wifi + 4G;128;Gold;D
124-PRE9136;;80065;Apple iPad mini Wifi + 4G;16;Silver;A
124-PRE9137;;80075;Apple iPad mini Wifi + 4G;32;Silver;A
124-PRE9138;;80085;Apple iPad mini Wifi + 4G;64;Silver;A
124-PRE9139;;80060;Apple iPad mini Wifi + 4G;16;Black;A
124-PRE9140;;80070;Apple iPad mini Wifi + 4G;32;Black;A
124-PRE9141;;80080;Apple iPad mini Wifi + 4G;64;Black;A
124-MED9142;;80066;Apple iPad mini Wifi + 4G;16;Silver;B
124-MED9143;;80076;Apple iPad mini Wifi + 4G;32;Silver;B
124-MED9144;;80086;Apple iPad mini Wifi + 4G;64;Silver;B
124-MED9145;;80061;Apple iPad mini Wifi + 4G;16;Black;B
124-MED9146;;80071;Apple iPad mini Wifi + 4G;32;Black;B
124-MED9147;;80081;Apple iPad mini Wifi + 4G;64;Black;B
124-BAS9149;;80077;Apple iPad mini Wifi + 4G;32;Silver;C
124-BAS9150;;80087;Apple iPad mini Wifi + 4G;64;Silver;C
124-BAS9151;;80062;Apple iPad mini Wifi + 4G;16;Black;C
124-BAS9152;;80072;Apple iPad mini Wifi + 4G;32;Black;C
124-BAS9153;;80082;Apple iPad mini Wifi + 4G;64;Black;C
124-ECO9154;;80067;Apple iPad mini Wifi + 4G;16;Silver;D
124-ECO9155;;80078;Apple iPad mini Wifi + 4G;32;Silver;D
124-ECO9156;;80088;Apple iPad mini Wifi + 4G;64;Silver;D
124-ECO9157;;80063;Apple iPad mini Wifi + 4G;16;Black;D
124-ECO9158;;80073;Apple iPad mini Wifi + 4G;32;Black;D
124-ECO9159;;80083;Apple iPad mini Wifi + 4G;64;Black;D
125-ECO9168;;80098;Apple iPad mini 2 Wifi + 4G;32;Silver;D
125-ECO9169;;80770;Apple iPad mini 2 Wifi + 4G;128;Silver;D
125-ECO9170;;80093;Apple iPad mini 2 Wifi + 4G;32;Black;D
125-ECO9171;;80775;Apple iPad mini 2 Wifi + 4G;128;Black;D
125-BAS9172;;80097;Apple iPad mini 2 Wifi + 4G;32;Silver;C
125-BAS9173;;80771;Apple iPad mini 2 Wifi + 4G;128;Silver;C
125-BAS9174;;80092;Apple iPad mini 2 Wifi + 4G;32;Black;C
125-BAS9175;;80776;Apple iPad mini 2 Wifi + 4G;128;Black;C
125-MED9176;;80096;Apple iPad mini 2 Wifi + 4G;32;Silver;B
125-MED9177;;80772;Apple iPad mini 2 Wifi + 4G;128;Silver;B
125-MED9178;;80091;Apple iPad mini 2 Wifi + 4G;32;Black;B
125-MED9179;;80777;Apple iPad mini 2 Wifi + 4G;128;Black;B
125-PRE9180;;80095;Apple iPad mini 2 Wifi + 4G;32;Silver;A
125-PRE9181;;80773;Apple iPad mini 2 Wifi + 4G;128;Silver;A
125-PRE9182;;80090;Apple iPad mini 2 Wifi + 4G;32;Black;A
125-PRE9183;;80778;Apple iPad mini 2 Wifi + 4G;128;Black;A
126-ECO9508;;80695;Apple iPad mini 4 Wifi + 4G;128;Silver;D
126-BAS9509;;80696;Apple iPad mini 4 Wifi + 4G;128;Silver;C
126-MED9510;;80701;Apple iPad mini 4 Wifi + 4G;128;Silver;B
126-PRE9511;;80702;Apple iPad mini 4 Wifi + 4G;128;Silver;A
127-ECO9216;;0;"Apple iPad Pro 9.7"" Wifi";16;Black;D
127-ECO9217;;0;"Apple iPad Pro 9.7"" Wifi";32;Black;D
127-ECO9218;;0;"Apple iPad Pro 9.7"" Wifi";64;Black;D
127-ECO9219;;0;"Apple iPad Pro 9.7"" Wifi";128;Black;D
127-ECO9220;;0;"Apple iPad Pro 9.7"" Wifi";256;Black;D
127-ECO9221;;0;"Apple iPad Pro 9.7"" Wifi";16;Silver;D
127-ECO9222;;0;"Apple iPad Pro 9.7"" Wifi";32;Silver;D
127-ECO9223;;0;"Apple iPad Pro 9.7"" Wifi";64;Silver;D
127-ECO9224;;0;"Apple iPad Pro 9.7"" Wifi";128;Silver;D
127-ECO9225;;0;"Apple iPad Pro 9.7"" Wifi";256;Silver;D
127-ECO9226;;0;"Apple iPad Pro 9.7"" Wifi";16;Grey;D
127-ECO9227;;0;"Apple iPad Pro 9.7"" Wifi";32;Grey;D
127-ECO9228;;0;"Apple iPad Pro 9.7"" Wifi";64;Grey;D
127-ECO9229;;0;"Apple iPad Pro 9.7"" Wifi";128;Grey;D
127-ECO9230;;0;"Apple iPad Pro 9.7"" Wifi";256;Grey;D
127-GOL9231;;0;"Apple iPad Pro 9.7"" Wifi";16;Gold;D
127-GOL9232;;0;"Apple iPad Pro 9.7"" Wifi";32;Gold;D
127-GOL9233;;0;"Apple iPad Pro 9.7"" Wifi";64;Gold;D
127-GOL9234;;0;"Apple iPad Pro 9.7"" Wifi";128;Gold;D
127-GOL9235;;0;"Apple iPad Pro 9.7"" Wifi";256;Gold;D
127-ECO9236;;0;"Apple iPad Pro 9.7"" Wifi";16;Pink Gold;D
127-ECO9237;;0;"Apple iPad Pro 9.7"" Wifi";32;Pink Gold;D
127-ECO9238;;0;"Apple iPad Pro 9.7"" Wifi";64;Pink Gold;D
127-ECO9239;;0;"Apple iPad Pro 9.7"" Wifi";128;Pink Gold;D
127-ECO9240;;0;"Apple iPad Pro 9.7"" Wifi";256;Pink Gold;D
127-BAS9241;;0;"Apple iPad Pro 9.7"" Wifi";16;Black;C
127-BAS9242;;0;"Apple iPad Pro 9.7"" Wifi";32;Black;C
127-BAS9243;;0;"Apple iPad Pro 9.7"" Wifi";64;Black;C
