reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
95-BAS8725;;81046;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Grey;Grade C
95-BAS8727;;81051;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Pink;Grade C
95-ECO8721;;81045;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Grey;Grade D
95-ECO8723;;81050;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Pink;Grade D
95-GOL8722;;81040;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Gold;Grade D
95-GOL8726;;81041;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Gold;Grade C
95-GOL8730;;81042;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Gold;Grade B
95-GOL8734;;81043;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Gold;Grade A
95-MED8729;;81047;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Grey;Grade B
95-MED8731;;81052;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Pink;Grade B
95-PRE8733;;81048;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Grey;Grade A
95-PRE8735;;81053;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Pink;Grade A
95-BAS8741;;81066;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Grey;Grade C
95-BAS8743;;81061;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Pink;Grade C
95-ECO8737;;81065;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Grey;Grade D
95-ECO8739;;81060;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Pink;Grade D
95-GOL8738;;81055;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Gold;Grade D
95-GOL8742;;81056;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Gold;Grade C
95-GOL8746;;81057;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Gold;Grade B
95-GOL8750;;81058;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Gold;Grade A
95-MED8745;;81067;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Grey;Grade B
95-MED8747;;81062;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Pink;Grade B
95-PRE8749;;81068;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Grey;Grade A
95-PRE8751;;81063;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Pink;Grade A
108-BAS8786;;81076;Apple Watch 1st Generation Stainless Steel 38 MM;16;Black;Grade C
108-ECO8784;;81075;Apple Watch 1st Generation Stainless Steel 38 MM;16;Black;Grade D
108-MED8788;;81077;Apple Watch 1st Generation Stainless Steel 38 MM;16;Black;Grade B
108-PRE8790;;81078;Apple Watch 1st Generation Stainless Steel 38 MM;16;Black;Grade A
108-BAS8794;;81071;Apple Watch 1st Generation Stainless Steel 42 MM;16;Black;Grade C
108-ECO8792;;81070;Apple Watch 1st Generation Stainless Steel 42 MM;16;Black;Grade D
