reference;IDP;Model;Capacity;Color;Grade;Ireland Stock
18-BAS1224;31180;iPhone 6S;16;Silver;Grade C;0
18-BAS1225;74815;iPhone 6S;32;Silver;Grade C;0
18-BAS1226;33291;iPhone 6S;64;Silver;Grade C;0
18-BAS1227;43918;iPhone 6S;128;Silver;Grade C;7
18-BAS1228;31182;iPhone 6S;16;Pink;Grade C;0
18-BAS1229;74805;iPhone 6S;32;Pink;Grade C;325
18-BAS1230;33316;iPhone 6S;64;Pink;Grade C;8
18-BAS1231;43903;iPhone 6S;128;Pink;Grade C;57
18-BAS1232;30743;iPhone 6S;16;Gold;Grade C;0
18-BAS1233;74810;iPhone 6S;32;Gold;Grade C;15
18-BAS1234;33280;iPhone 6S;64;Gold;Grade C;0
18-BAS1235;43932;iPhone 6S;128;Gold;Grade C;18
18-BAS1236;31178;iPhone 6S;16;Grey;Grade C;0
18-BAS1237;74798;iPhone 6S;32;Grey;Grade C;238
18-BAS1238;33259;iPhone 6S;64;Grey;Grade C;168
18-BAS1239;43914;iPhone 6S;128;Grey;Grade C;230
18-ECO1240;26387;iPhone 6S;16;Silver;Grade D;0
18-ECO1241;74816;iPhone 6S;32;Silver;Grade D;0
18-ECO1242;33293;iPhone 6S;64;Silver;Grade D;2
18-ECO1243;43919;iPhone 6S;128;Silver;Grade D;4
18-ECO1244;31253;iPhone 6S;16;Pink;Grade D;0
18-ECO1245;74806;iPhone 6S;32;Pink;Grade D;23
18-ECO1246;33318;iPhone 6S;64;Pink;Grade D;73
18-ECO1247;43904;iPhone 6S;128;Pink;Grade D;27
18-ECO1248;31013;iPhone 6S;16;Gold;Grade D;0
18-ECO1249;74811;iPhone 6S;32;Gold;Grade D;3
18-ECO1250;33283;iPhone 6S;64;Gold;Grade D;0
18-ECO1251;43934;iPhone 6S;128;Gold;Grade D;1
18-ECO1252;31214;iPhone 6S;16;Grey;Grade D;0
18-ECO1253;74799;iPhone 6S;32;Grey;Grade D;100
18-ECO1254;33265;iPhone 6S;64;Grey;Grade D;72
18-ECO1255;43915;iPhone 6S;128;Grey;Grade D;56
18-MED1208;26386;iPhone 6S;16;Silver;Grade B;0
18-MED1209;74814;iPhone 6S;32;Silver;Grade B;0
18-MED1210;38582;iPhone 6S;64;Silver;Grade B;0
18-MED1211;43917;iPhone 6S;128;Silver;Grade B;0
18-MED1212;31252;iPhone 6S;16;Pink;Grade B;0
18-MED1213;74803;iPhone 6S;32;Pink;Grade B;40
18-MED1214;33310;iPhone 6S;64;Pink;Grade B;0
18-MED1215;43901;iPhone 6S;128;Pink;Grade B;10
18-MED1216;38975;iPhone 6S;16;Gold;Grade B;4
18-MED1217;74809;iPhone 6S;32;Gold;Grade B;7
18-MED1218;39252;iPhone 6S;64;Gold;Grade B;0
18-MED1219;43933;iPhone 6S;128;Gold;Grade B;1
18-MED1220;31208;iPhone 6S;16;Grey;Grade B;0
18-MED1221;74797;iPhone 6S;32;Grey;Grade B;0
18-MED1222;41182;iPhone 6S;64;Grey;Grade B;0
18-MED1223;43913;iPhone 6S;128;Grey;Grade B;4
18-PRE1192;7207;iPhone 6S;16;Silver;Grade A;0
18-PRE1193;74813;iPhone 6S;32;Silver;Grade A;0
18-PRE1194;33289;iPhone 6S;64;Silver;Grade A;3
18-PRE1195;51805;iPhone 6S;128;Silver;Grade A;3
18-PRE1196;31261;iPhone 6S;16;Pink;Grade A;0
18-PRE1197;74802;iPhone 6S;32;Pink;Grade A;6
18-PRE1198;37356;iPhone 6S;64;Pink;Grade A;381
18-PRE1199;51808;iPhone 6S;128;Pink;Grade A;3
18-PRE1200;31009;iPhone 6S;16;Gold;Grade A;0
18-PRE1201;74808;iPhone 6S;32;Gold;Grade A;0
18-PRE1202;49225;iPhone 6S;64;Gold;Grade A;5
18-PRE1203;51204;iPhone 6S;128;Gold;Grade A;0
18-PRE1204;33282;iPhone 6S;16;Grey;Grade A;0
18-PRE1205;74795;iPhone 6S;32;Grey;Grade A;0
18-PRE1206;51806;iPhone 6S;64;Grey;Grade A;0
18-PRE1207;51807;iPhone 6S;128;Grey;Grade A;1
19-BAS184;16271;iPhone 4S;8;White;Grade C;0
19-BAS185;7064;iPhone 4S;16;White;Grade C;0
19-BAS186;19575;iPhone 4S;32;White;Grade C;0
19-BAS187;27996;iPhone 4S;8;Black;Grade C;0
19-BAS188;7127;iPhone 4S;16;Black;Grade C;0
19-BAS189;19571;iPhone 4S;32;Black;Grade C;0
19-ECO190;20485;iPhone 4S;8;White;Grade D;0
19-ECO191;30501;iPhone 4S;16;White;Grade D;0
19-ECO192;19588;iPhone 4S;32;White;Grade D;0
19-ECO193;29398;iPhone 4S;8;Black;Grade D;0
19-ECO194;37573;iPhone 4S;16;Black;Grade D;0
19-ECO195;19584;iPhone 4S;32;Black;Grade D;0
19-MED178;20484;iPhone 4S;8;White;Grade B;0
19-MED179;19371;iPhone 4S;16;White;Grade B;0
19-MED180;7056;iPhone 4S;32;White;Grade B;0
19-MED181;16270;iPhone 4S;8;Black;Grade B;0
19-MED182;19367;iPhone 4S;16;Black;Grade B;0
19-MED183;7749;iPhone 4S;32;Black;Grade B;0
19-PRE172;20483;iPhone 4S;8;White;Grade A;0
19-PRE173;19370;iPhone 4S;16;White;Grade A;0
19-PRE174;19586;iPhone 4S;32;White;Grade A;0
19-PRE175;19374;iPhone 4S;8;Black;Grade A;0
19-PRE176;19648;iPhone 4S;16;Black;Grade A;0
19-PRE177;19582;iPhone 4S;32;Black;Grade A;0
20-BAS204;7040;iPhone 4;8;White;Grade C;0
20-BAS205;7088;iPhone 4;16;White;Grade C;0
20-BAS206;7072;iPhone 4;8;Black;Grade C;0
20-BAS207;7750;iPhone 4;16;Black;Grade C;0
20-ECO208;19364;iPhone 4;8;White;Grade D;0
20-ECO209;20496;iPhone 4;16;White;Grade D;0
20-ECO210;19580;iPhone 4;8;Black;Grade D;0
20-ECO211;30512;iPhone 4;16;Black;Grade D;0
20-MED200;20495;iPhone 4;8;White;Grade B;0
20-MED201;20497;iPhone 4;16;White;Grade B;0
20-MED202;19579;iPhone 4;8;Black;Grade B;0
20-MED203;19351;iPhone 4;16;Black;Grade B;0
20-PRE196;19644;iPhone 4;8;White;Grade A;0
20-PRE197;19354;iPhone 4;16;White;Grade A;0
20-PRE198;19358;iPhone 4;8;Black;Grade A;0
20-PRE199;19350;iPhone 4;16;Black;Grade A;0
21-BAS236;13454;iPhone 6;16;Grey;Grade C;0
21-BAS237;74972;iPhone 6;32;Grey;Grade C;0
21-BAS238;15958;iPhone 6;64;Grey;Grade C;0
21-BAS239;15053;iPhone 6;128;Grey;Grade C;0
21-BAS240;13455;iPhone 6;16;Silver;Grade C;0
21-BAS242;15956;iPhone 6;64;Silver;Grade C;0
21-BAS243;15047;iPhone 6;128;Silver;Grade C;0
21-BAS244;29527;iPhone 6;16;Gold;Grade C;0
21-BAS245;74995;iPhone 6;32;Gold;Grade C;0
21-BAS246;15962;iPhone 6;64;Gold;Grade C;0
21-BAS247;15057;iPhone 6;128;Gold;Grade C;0
21-ECO248;68703;iPhone 6;16;Grey;Grade D;0
21-ECO249;74982;iPhone 6;32;Grey;Grade D;0
21-ECO250;19519;iPhone 6;64;Grey;Grade D;0
21-ECO251;19495;iPhone 6;128;Grey;Grade D;0
21-ECO252;19515;iPhone 6;16;Silver;Grade D;0
21-ECO254;19527;iPhone 6;64;Silver;Grade D;0
21-ECO255;19503;iPhone 6;128;Silver;Grade D;0
21-ECO256;19510;iPhone 6;16;Gold;Grade D;0
21-ECO257;74996;iPhone 6;32;Gold;Grade D;0
21-ECO258;19523;iPhone 6;64;Gold;Grade D;0
21-ECO259;19499;iPhone 6;128;Gold;Grade D;0
21-MED224;58245;iPhone 6;16;Grey;Grade B;0
