id_shop_default;id_tax;on_sale;ecotax;quantity;minimal_quantity;wholesale_price;price;price_discounted;discount_amount;reference;weight;Currency;Ireland Stock;US Stock;In transit;In order;Timing;IDP;Model;Capacity;Color;Grade;Last purchase price in USD;Last 7 days Sales;
1;84;1;;0;1;1000.00;1112.00;;;20-A7107;0.15;1.23200;0;0;0;0;;19358;iPhone 4;8;Black;Grade A;;0;
1;84;1;;0;1;35.58;50.00;;;20-B7113;0.15;1.23200;0;0;0;0;;19579;iPhone 4;8;Black;Grade B;26.00;0;
1;84;1;;1;1;35.58;45.00;;;20-C7119;0.15;1.23200;0;0;1;0;;7072;iPhone 4;8;Black;Grade C;26.00;0;
1;84;1;;0;1;35.58;40.00;;;20-D7125;0.15;1.23200;0;0;0;0;;19580;iPhone 4;8;Black;Grade D;26.00;0;
1;84;1;;0;1;1000.00;1112.00;;;20-A7110;0.15;1.23200;0;0;0;0;;19644;iPhone 4;8;White;Grade A;;0;
1;84;0;;0;1;41.81;57.00;;;20-B7116;0.15;1.23200;0;0;0;0;;20495;iPhone 4;8;White;Grade B;33.00;0;
1;84;0;;0;1;41.81;52.00;;;20-C7122;0.15;1.23200;0;0;0;0;;7040;iPhone 4;8;White;Grade C;33.00;1;
1;84;0;;0;1;41.81;47.00;;;20-D7128;0.15;1.23200;0;0;0;0;;19364;iPhone 4;8;White;Grade D;33.00;0;
1;84;1;;0;1;1000.00;1112.00;;;20-A7108;0.15;1.23200;0;0;0;0;;19350;iPhone 4;16;Black;Grade A;;0;
1;84;1;;0;1;43.23;59.00;;;20-B7114;0.15;1.23200;0;0;0;0;;19351;iPhone 4;16;Black;Grade B;49.00;0;
1;84;1;;0;1;43.23;54.00;;;20-C7120;0.15;1.23200;0;0;0;0;;7750;iPhone 4;16;Black;Grade C;49.00;9;
1;84;1;;0;1;43.23;49.00;;;20-D7126;0.15;1.23200;0;0;0;0;;30512;iPhone 4;16;Black;Grade D;49.00;0;
1;84;1;;0;1;1000.00;1112.00;;;20-A7111;0.15;1.23200;0;0;0;0;;19354;iPhone 4;16;White;Grade A;;0;
1;84;1;;0;1;31.13;45.00;;;20-B7117;0.15;1.23200;0;0;0;0;;20497;iPhone 4;16;White;Grade B;35.00;0;
1;84;1;;2;1;31.13;40.00;;;20-C7123;0.15;1.23200;0;0;2;0;;7088;iPhone 4;16;White;Grade C;35.00;0;
1;84;1;;0;1;31.13;35.00;;;20-D7129;0.15;1.23200;0;0;0;0;;20496;iPhone 4;16;White;Grade D;35.00;0;
1;84;1;;14;1;43.65;49.00;;;19-A7075;0.30;1.23200;14;0;0;0;;19374;iPhone 4S;8;Black;Grade A;50.00;0;
1;84;1;;4;1;43.72;59.00;;;19-B7083;0.30;1.23200;4;0;0;0;;16270;iPhone 4S;8;Black;Grade B;45.58;0;
1;84;1;;17;1;43.72;54.00;;;19-C7091;0.30;1.23200;0;0;17;0;;27996;iPhone 4S;8;Black;Grade C;45.58;4;
1;84;1;;0;1;43.72;49.00;;;19-D7099;0.30;1.23200;0;0;0;0;;29398;iPhone 4S;8;Black;Grade D;45.58;0;
1;84;1;;0;1;1000.00;1112.00;;;19-A7079;0.30;1.23200;0;0;0;0;;20483;iPhone 4S;8;White;Grade A;;0;
1;84;1;;0;1;40.27;55.00;;;19-B7087;0.30;1.23200;0;0;0;0;;20484;iPhone 4S;8;White;Grade B;45.00;0;
1;84;1;;16;1;40.27;50.00;;;19-C7095;0.30;1.23200;0;0;0;16;2018-02-14;16271;iPhone 4S;8;White;Grade C;45.00;0;
1;84;1;;0;1;40.27;45.00;;;19-D7103;0.30;1.23200;0;0;0;0;;20485;iPhone 4S;8;White;Grade D;45.00;0;
1;84;1;;0;1;1000.00;1112.00;;;19-A7077;0.30;1.23200;0;0;0;0;;19582;iPhone 4S;32;Black;Grade A;;0;
1;84;0;;0;1;40.04;55.00;;;19-B7085;0.30;1.23200;0;0;0;0;;7749;iPhone 4S;32;Black;Grade B;57.00;0;
1;84;0;;0;1;40.04;50.00;;;19-C7093;0.30;1.23200;0;0;0;0;;19571;iPhone 4S;32;Black;Grade C;57.00;0;
1;84;0;;0;1;40.04;45.00;;;19-D7101;0.30;1.23200;0;0;0;0;;19584;iPhone 4S;32;Black;Grade D;57.00;0;
1;84;1;;1;1;40.03;45.00;;;19-A7081;0.30;1.23200;0;0;1;0;;19586;iPhone 4S;32;White;Grade A;;0;
1;84;1;;3;1;48.22;64.00;;;19-B7089;0.30;1.23200;0;3;0;0;;7056;iPhone 4S;32;White;Grade B;49.00;0;
1;84;1;;0;1;48.22;59.00;;;19-C7097;0.30;1.23200;0;0;0;0;2018-02-14;19575;iPhone 4S;32;White;Grade C;49.00;3;
1;84;1;;2;1;48.22;54.00;;;19-D7105;0.30;1.23200;0;2;0;0;;19588;iPhone 4S;32;White;Grade D;49.00;0;
1;84;1;;0;1;45.37;51.00;;;19-A7076;0.30;1.23200;0;0;0;0;;19648;iPhone 4S;16;Black;Grade A;51.00;0;
1;84;1;;2;1;43.94;59.00;;;19-B7084;0.30;1.23200;0;2;0;0;;19367;iPhone 4S;16;Black;Grade B;53.14;0;
1;84;1;;2;1;43.94;54.00;;;19-C7092;0.30;1.23200;0;2;0;0;2018-02-14;7127;iPhone 4S;16;Black;Grade C;53.14;7;
1;84;1;;0;1;43.94;49.00;;;19-D7100;0.30;1.23200;0;0;0;0;;37573;iPhone 4S;16;Black;Grade D;53.14;0;
1;84;1;;0;1;49.81;56.00;;;19-A7080;0.30;1.23200;0;0;0;0;;19370;iPhone 4S;16;White;Grade A;56.00;0;
1;84;1;;6;1;43.82;59.00;;;19-B7088;0.30;1.23200;0;6;0;0;;19371;iPhone 4S;16;White;Grade B;50.00;0;
1;84;1;;5;1;43.82;54.00;;;19-C7096;0.30;1.23200;0;5;0;0;2018-02-14;7064;iPhone 4S;16;White;Grade C;48.20;11;
1;84;1;;3;1;43.82;49.00;;;19-D7104;0.30;1.23200;0;3;0;0;;30501;iPhone 4S;16;White;Grade D;48.20;0;
1;84;1;;0;1;1000.00;1112.00;;;22-A7181;0.16;1.23200;0;0;0;0;;51581;iPhone 5;64;Black;Grade A;;0;
1;84;1;;0;1;80.43;100.00;;;22-B7187;0.16;1.23200;0;0;0;0;;46008;iPhone 5;64;Black;Grade B;85.00;0;
1;84;1;;0;1;80.43;95.00;;;22-C7193;0.16;1.23200;0;0;0;0;;35566;iPhone 5;64;Black;Grade C;85.00;0;
1;84;1;;0;1;80.43;90.00;;;22-D7199;0.16;1.23200;0;0;0;0;;46011;iPhone 5;64;Black;Grade D;85.00;0;
1;84;1;;0;1;88.47;99.00;;;22-A7184;0.16;1.23200;0;0;0;0;;51582;iPhone 5;64;White;Grade A;;0;
1;84;1;;0;1;78.04;97.00;;;22-B7190;0.16;1.23200;0;0;0;0;;38297;iPhone 5;64;White;Grade B;85.00;0;
1;84;1;;1;1;78.04;92.00;;;22-C7196;0.16;1.23200;1;0;0;0;;34827;iPhone 5;64;White;Grade C;85.00;0;
1;84;1;;0;1;78.04;87.00;;;22-D7202;0.16;1.23200;0;0;0;0;;38298;iPhone 5;64;White;Grade D;85.00;0;
1;84;1;;0;1;79.48;89.00;;;22-A7180;0.16;1.23200;0;0;0;0;;19386;iPhone 5;32;Black;Grade A;95.00;0;
1;84;1;;0;1;76.62;96.00;;;22-B7186;0.16;1.23200;0;0;0;0;;19387;iPhone 5;32;Black;Grade B;86.14;0;
1;84;1;;0;1;76.62;91.00;;;22-C7192;0.16;1.23200;0;0;0;0;;16059;iPhone 5;32;Black;Grade C;86.14;0;
1;84;1;;0;1;76.62;86.00;;;22-D7198;0.16;1.23200;0;0;0;0;;19388;iPhone 5;32;Black;Grade D;86.14;0;
1;84;1;;0;1;88.47;99.00;;;22-A7183;0.16;1.23200;0;0;0;0;;19390;iPhone 5;32;White;Grade A;95.00;0;
1;84;0;;0;1;86.08;106.00;;;22-B7189;0.16;1.23200;0;0;0;0;;16058;iPhone 5;32;White;Grade B;95.00;0;
1;84;0;;0;1;86.08;101.00;;;22-C7195;0.16;1.23200;0;0;0;0;;27941;iPhone 5;32;White;Grade C;95.00;0;
1;84;0;;0;1;86.08;96.00;;;22-D7201;0.16;1.23200;0;0;0;0;;19392;iPhone 5;32;White;Grade D;95.00;0;
1;84;1;;0;1;79.48;89.00;;;22-A7179;0.16;1.23200;0;0;0;0;;19633;iPhone 5;16;Black;Grade A;86.00;1;
1;84;0;;1;1;58.53;76.00;;;22-B7185;0.16;1.23200;0;0;1;0;;19379;iPhone 5;16;Black;Grade B;76.00;0;
1;84;0;;1;1;58.53;71.00;;;22-C7191;0.16;1.23200;0;1;0;0;;6987;iPhone 5;16;Black;Grade C;76.00;4;
1;84;0;;0;1;58.53;66.00;;;22-D7197;0.16;1.23200;0;0;0;0;;19380;iPhone 5;16;Black;Grade D;76.00;0;
1;84;1;;0;1;79.48;89.00;;;22-A7182;0.16;1.23200;0;0;0;0;;19382;iPhone 5;16;White;Grade A;86.00;0;
