reference;subject;description;content
welcome-seller;Willkommen bei {shop_name};Diese E-Mail wird an den Verkäufer geschickt, wenn Ihr Verkäuferkonto korrekt erstellt wurde.;"<p>Willkommen <strong>{seller_name}</strong>!</p><p>Vielen Dank für die Erstellung eines Verkäuferkontos bei {shop_name}!</p><p>Ihr Verkäuferkonto wurde erfolgreich erstellt <a href=""{shop_url}"">{shop_name}</a></p>"
new-seller;Neuer registrierter Verkäufer;Diese E-Mail wird an den Administrator gesendet, wenn sich ein Kunde als Verkäufer registriert.;"<p>Neuer Kunde als Verkäufer registriert.</p><p>Verkäufer:</p><p>NAME: {seller_name}</p><p>SHOP: {seller_shop}</p><p>Sie können auf Ihr Geschäft zugreifen, um das neue Verkäuferkonto zu aktivieren <a href=""{shop_url}"">{shop_name}</a></p>"
edit-seller;"""{seller_name}"" er hat sein Verkäuferprofil geändert";Diese E-Mail wird an den Administrator gesendet wenn ein Verkäufer die Angaben seines Verkäuferkontos geändert hat.;"<p><strong>{seller_name}</strong> er hat sein Verkäuferprofil geändert.</p><p>Sie können auf Ihren Speicher zugreifen, um Änderungen zu bestätigen <a href=""{shop_url}"">{shop_name}</a></p>"
seller-activated;Verkäuferkonto akzeptiert;Diese E-Mail wird an den Verkäufer geschickt, wenn Ihr Verkäuferkonto angenommen wurde.;"<p>Ihr Verkäuferkonto wurde akzeptiert.</p><p>Jetzt können Sie mit dem Hinzufügen Ihrer Produkte beginnen <a href=""{shop_url}"">{shop_name}</a></p>"
seller-desactivated;Abgelehnter Verkäuferkonto;Diese E-Mail wird an den Verkäufer geschickt, wenn Ihr Verkäuferkonto abgelehnt oder deaktiviert wurde.;<p>Ihr Verkäuferkonto wurde abgelehnt <strong>{shop_name}</strong>.</p><p>{reasons}</p>
new-product;"""{seller_name}"" hat ein neues Produkt hinzugefügt";Diese E-Mail wird an den Administrator gesendet, wenn ein Verkäufer ein neues Produkt hinzufügt.;"<p><strong>{seller_name}</strong>hat ein neues Produkt hinzugefügt: <strong>{product_name}</strong>.</p><p>Sie können auf Ihren Speicher zugreifen, um ihn zu bestätigen <a href=""{shop_url}"">{shop_name}</a></p>"
product-activated;"""{product_name}"" wurde akzeptiert";Diese E-Mail wird an den Verkäufer geschickt, wenn Ihr Produkt akzeptiert wurde.;"<p>Ihr Produkt <strong>{product_name}</strong> wurde zum Verkauf angenommen.</p><p>Jetzt erhältlich in <a href=""{shop_url}"">{shop_name}</a></p>"
product-desactivated;" ""{product_name}"" wurde abgelehnt";Diese E-Mail wird an den Verkäufer geschickt, wenn Ihr Produkt abgelehnt wurde.;<p>Ihr Produkt <strong>{product_name}</strong> wurde abgelehnt in <strong>{shop_name}</strong>.</p><p>{reasons}</p>
edit-product;"""{seller_name}"" hat ein Produkt bearbeitet";Diese E-Mail wird an den Administrator gesendet, wenn ein Verkäufer ein Produkt bearbeitet hat.;"<p><strong>{seller_name}</strong> hat Ihr Produkt bearbeitet <strong>{product_name}</strong>.</p><p>Sie können auf Ihr Geschäft zugreifen, um es zu akzeptieren in <a href=""{shop_url}"">{shop_name}</a></p>"
new-order;"Neuer Bestellung. ""{product_name}"" - {order_reference}";Diese E-Mail wird an den Verkäufer geschickt, wenn Ihr Produkt von einem Kunden gekauft wurde.;"<p>Herzlichen Glückwunsch! <strong>{product_name}</strong> wurde von einem Kunden im Laden gekauft <strong>{shop_name}</strong>.</p><p>Überprüfen Sie Ihren Verkäuferkonto bei in <a href=""{shop_url}"">{shop_name}</a></p>"
