reference;subject;description;content
welcome-seller;Bienvenido a {shop_name};Este correo electrónico se envía al vendedor cuando su cuenta de vendedor ha sido creada correctamente.;"<p>Bienvenido <strong>{seller_name}</strong>!</p><p>Gracias por crear una cuenta de vendedor en {shop_name}!</p><p>Su cuenta de vendedor ha sido creada correctamente en <a href=""{shop_url}"">{shop_name}</a></p>"
new-seller;Nuevo vendedor registrado;Este correo electrónico se envía al administrador cuando un cliente se registra como vendedor.;"<p>Nuevo cliente registrado como vendedor.</p><p>Detalles del vendedor:</p><p>NOMBRE: {seller_name}</p><p>TIENDA: {seller_shop}</p><p>Puede acceder a su tienda para activar la nueva cuenta de vendedor en <a href=""{shop_url}"">{shop_name}</a></p>"
edit-seller;"""{seller_name}"" ha editado su cuenta de vendedor";Este correo electrónico se envía al administrador Cuando un vendedor ha cambiado la información de su cuenta de vendedor.;"<p><strong>{seller_name}</strong> ha modificado su perfil de vendedor.</p><p>Puede acceder a su tienda para validar los cambios en <a href=""{shop_url}"">{shop_name}</a></p>"
seller-activated;Cuenta de vendedor aceptada;Este correo electrónico se envía al vendedor cuando su cuenta de vendedor ha sido aceptada.;"<p>Su cuenta de vendedor ha sido aceptada.</p><p>Ahora puede comenzar a añadir sus productos en <a href=""{shop_url}"">{shop_name}</a></p>"
seller-desactivated;Cuenta de vendedor rechazada;Este correo electrónico se envía al vendedor cuando su cuenta de vendedor ha sido rechazada o desactivada.;<p>Su cuenta de vendedor ha sido rechazada en <strong>{shop_name}</strong>.</p><p>{reasons}</p>
new-product;"""{seller_name}"" ha añadido un nuevo producto";Este correo electrónico se envía al administrador cuando un vendedor añade un nuevo producto.;"<p><strong>{seller_name}</strong> ha añadido un nuevo producto: <strong>{product_name}</strong>.</p><p>Puede acceder a su tienda para validarlo en <a href=""{shop_url}"">{shop_name}</a></p>"
product-activated;"""{product_name}"" ha sido aceptado";Este correo electrónico se envía al vendedor cuando su producto ha sido aceptado.;"<p>Su producto <strong>{product_name}</strong> ha sido aceptado para la venta.</p><p>Ahora está disponible en <a href=""{shop_url}"">{shop_name}</a></p>"
product-desactivated;" ""{product_name}"" ha sido rechazado";Este correo electrónico se envía al vendedor cuando su producto ha sido rechazado.;<p>Su producto <strong>{product_name}</strong> ha sido rechazado en <strong>{shop_name}</strong>.</p><p>{reasons}</p>
edit-product;"""{seller_name}"" ha editado un producto";Este correo electrónico se envía al administrador cuando un vendedor ha editado un producto.;"<p><strong>{seller_name}</strong> ha editado su producto <strong>{product_name}</strong>.</p><p>Puede acceder a su tienda para aceptarlo en <a href=""{shop_url}"">{shop_name}</a></p>"
new-order;"Nuevo pedido. ""{product_name}"" - {order_reference}";Este correo electrónico se envía al vendedor cuando su producto ha sido comprado por un cliente.;"<p>¡Enhorabuena! <strong>{product_name}</strong> fue comprado por un cliente en la tienda <strong>{shop_name}</strong>.</p><p>Revisa tu cuenta de vendedor en <a href=""{shop_url}"">{shop_name}</a></p>"
new-incidence;"Nueva incidencia recibida sobre el pedido ""{order_reference}""";Este correo electrónico se envía al vendedor cuando un cliente tiene problemas con algún pedido.;"<p>Ha habido una nueva incidencia sobre el pedido <strong>{order_reference}</strong>:</p><p>{description}</p><p>Acceda a su cuenta de vendedor para dar una respuesta en <a href=""{shop_url}"">{shop_name}</a></p>"
new-message;"Nuevo mensaje recibido";Este correo electrónico se envía al vendedor cuando un cliente quiere saber más información sobre un producto.;"<p>Ha recibido un nuevo mensaje con referencia <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Acceda a su cuenta de vendedor para dar una respuesta en <a href=""{shop_url}"">{shop_name}</a></p>"
new-response-seller;"Nueva respuesta a su mensaje con referencia ""{incidence_reference}""";Este correo electrónico se envía al cliente cuando el vendedor responde a un mensaje previo.;"<p>Hay una nueva respuesta sobre su mensaje con referencia <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Acceda a su cuenta para revisar el historial de mensajes <a href=""{shop_url}"">{shop_name}</a></p>"
new-response-customer;"Nueva respuesta del cliente sobre el mensaje con referencia ""{incidence_reference}""";Este correo electrónico se envía al vendedor cuando el cliente responde a un mensaje previo.;"<p>Hay una nueva respuesta del cliente en el mensaje con referencia <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Acceda a su cuenta de vendedor para dar una respuesta en <a href=""{shop_url}"">{shop_name}</a></p>"
new-comment-admin;"Nuevo comentario recibido sobre ""{seller_name}""";Este correo electrónico se envía al administrador cuando un cliente valora el grado de satisfacción de un vendedor.;"<p>Nuevo comentario recibido:</p><p>Grado de satisfacción: {grade}/5</p><p>{comment}</p><p>Acceda a su tienda para validarlo <a href=""{shop_url}"">{shop_name}</a></p>"
new-comment-seller;Nuevo comentario recibido;Este correo electrónico se envía al vendedor cuando un cliente valora el grado de satisfacción de un vendedor o cuando el admininistrador valida un comentario.;"<p>Nuevo comentario recibido:</p><p>Grado de satisfacción: {grade}/5</p><p>{comment}</p><p>Puede verlo en <a href=""{shop_url}"">{shop_name}</a></p>"
seller-transfer-accepted;Solicitud de pago aceptada;Este correo electrónico se envía al vendedor cuando un administrador acepta una transferencia de solicitud de comisiones.;"<p>Su solicitud de pago ha sido validado por nuestro equipo de contabilidad. Un importe de <strong>{amount}</strong> ha sido transferido a su cuenta {payment}.</p><p>Puede acceder a su cuenta de vendedor para ver más información en <a href={shop_url}"">{shop_name}</a></p>"
seller-payment-request;Nueva solicitud de pago;Este correo electrónico se envía al administrador cuando un vendedor hace una solicitud de transferencia de comisiones.;"<p>Nueva solicitud de pago de comisiones. El vendedor {seller_name} desea recibir un importe de <strong>{amount}</strong> en su cuenta {payment}.</p><p>Puede acceder a su tienda para validarlo en <a href="{shop_url}">{shop_name}</a></p>"
seller-order-changed;Pedido {order_reference} actualizado;Este correo electrónico se envía al administrador cuando un vendedor cambia el estado de su pedido.;"<p>El vendedor {seller_name} ha cambiado el estado de su pedido <strong>{order_reference}</strong> desde su cuenta de vendedor.</p><p>Puede acceder a su tienda para revisarlo en <a href=""{shop_url}"">{shop_name}</a></p>"
