reference;subject;description;content
welcome-seller;Bienvenue à {shop_name};Ce courrier électronique est envoyé au vendeur lorsque votre compte vendeur a été créé correctement.;"<p>Bienvenue <strong>{seller_name}</strong>!</p><p>Merci de créer un compte vendeur à {shop_name}!</p><p>Votre compte vendeur à été créé avec succès dans <a href=""{shop_url}"">{shop_name}</a></p>"
new-seller;Nouveau vendeur enregistré;Ce courrier électronique est envoyé à l'administrateur en tant que client s'inscrit en tant que vendeur.;"<p>Nouveau client enregistré en tant que vendeur.</p><p>Informations sur le vendeur:</p><p>Nom: {seller_name}</p><p>Boutique: {seller_shop}</p><p>Vous pouvez accéder à votre magasin pour activer le compte du nouveau vendeur à <a href=""{shop_url}"">{shop_name}</a></p>"
edit-seller;"""{Seller_name}"" a modifié votre compte vendeur";Ce courrier électronique est envoyé à l'administrateur Lorsqu'un vendeur a changé les informations de son compte vendeur.;"<p><strong>{seller_name}</strong> a changé le profil du vendeur.</p><p>Vous pouvez accéder à votre magasin pour valider les changements dans <a href=""{shop_url}"">{shop_name}</a></p>"
seller-activated;Votre compte vendeur a été activé;Ce courrier électronique est envoyé au vendeur lorsque votre compte vendeur a été accepté.;"<p>Votre compte vendeur a été activé.</p><p>Maintenant, vous pouvez commencer à ajouter des produits dans <a href=""{shop_url}"">{shop_name}</a></p>"
seller-desactivated;Votre compte vendeur a été refusé;Ce courrier électronique est envoyé au vendeur lorsque le compte de votre vendeur a été refusé ou désactivé.;<p>Votre compte vendeur a été refusé dans <strong>{shop_name}</strong></p><p>{reasons}</p>
new-product;"""{seller_name}"" a ajouté un nouveau produit";Ce courrier électronique est envoyé à l'administrateur lorsqu'un vendeur ajoute un nouveau produit.;"<p><strong>{seller_name}</strong>  ajouté un nouveau produit: <strong>{product_name}</strong>.</p><p>Vous pouvez accéder à votre magasin pour le valider dans <a href=""{shop_url}"">{shop_name}</a></p>"
product-activated;"Votre produit ""{product_name}"" a été accepté";Ce courrier électronique est envoyé au vendeur lorsque votre produit a été accepté.;"<p>Votre produit <strong>{product_name}</strong> a été accepté pour la vente.</p><p>Maintenant disponible dans <a href=""{shop_url}"">{shop_name}</a></p>"
product-desactivated;"Votre produit ""{product_name}"" a été refusé";Ce courrier électronique est envoyé au vendeur lorsque votre produit a été rejeté.;<p>Votre produit <strong>{product_name}</strong> a été refusé dans <strong>{shop_name}</strong></p><p>{reasons}</p>
edit-product;"""{seller_name}"" a édité un produit";Ce courrier électronique est envoyé à l'administrateur lorsqu'un vendeur a édité un produit.;"<p><strong>{seller_name}</strong> a modifié votre produit <strong>{product_name}</strong>.</p><p>Vous pouvez accéder à votre magasin pour l\'accepter <a href=""{shop_url}"">{shop_name}</a></p>"
new-order;"Nouvelle commande. ""{product_name}"" - {order_reference}";Ce courrier électronique est envoyé au vendeur lorsque votre produit a été acheté par un client.;"<p>Bonjour <strong>{seller_name}</strong>!</p><p>Félicitations! <strong>{product_name}</strong> a été acheté par un client dans la boutique <strong>{shop_name}</strong>.</p><p>Vérifiez votre compte vendeur à <a href=""{shop_url}"">{shop_name}</a></p>"
new-incidence;"Nouvelle incidence dans ordre ""{order_reference}""";Ce courrier électronique est envoyé au vendeur lorsqu'un client a des problèmes avec une commande.;"<p>Il y a eu un nouvel incident sur la commande <strong>{order_reference}</strong>:</p><p>{description}</p><p>Accédez au compte de votre vendeur pour donner une réponse dans <a href=""{shop_url}"">{shop_name}</a></p>"
new-message;"Nouveau message reçu";Ce courrier électronique est envoyé au vendeur lorsqu'un client veut savoir plus d'informations sur un produit.;"<p>Vous avez reçu un nouveau message avec référence <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Accédez au compte de votre vendeur pour donner une réponse dans <a href=""{shop_url}"">{shop_name}</a></p>"
new-response-seller;"Nouvelle réponse à votre message avec la référence ""{incidence_reference}""";Ce courrier électronique est envoyé au client lorsque le vendeur répond à un message précédent.;"<p>Il y a une nouvelle réponse sur votre message avec référence <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Connectez-vous à votre compte pour examiner l'historique de vos messages. <a href=""{shop_url}"">{shop_name}</a></p>"
new-response-customer;"Nouvelle réponse du client sur le message avec référence ""{incidence_reference}""";Ce courrier électronique est envoyé au vendeur lorsque le client répond à un message précédent.;"<p>Il y a une nouvelle réponse du client dans le message avec référence <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Accédez au compte de votre vendeur pour donner une réponse dans <a href=""{shop_url}"">{shop_name}</a></p>"
new-comment-admin;"Nouveau commentaire reçu sur ""{seller_name}""";Ce courrier électronique est envoyé à l'administrateur lorsqu'un client valorise le degré de satisfaction d'un vendeur.;"<p>Nouveau commentaire reçu sur le vendeur <strong>{seller_name}</strong>:</p><p>Satisfaction: {grade}/5</p><p>{comment}</p><p>Accédez à votre magasin pour le valider <a href=""{shop_url}"">{shop_name}</a></p>"
new-comment-seller;Nouveau commentaire reçu;Ce courrier électronique est envoyé au vendeur lorsqu'un client évalue la satisfaction d'un vendeur ou lorsque l'administrateur valide un commentaire.;"<p>Nouveau commentaire reçu:</p><p>Satisfaction: {grade}/5</p><p>{comment}</p><p>Vous pouvez le voir dans <a href=""{shop_url}"">{shop_name}</a></p>"
seller-transfer-accepted;Votre demande de paiement a été acceptée;Ce courrier électronique est envoyé au vendeur lorsqu'un administrateur accepte un transfert de demande de commission.;"<p>Votre demande de paiement a été validée par notre équipe de comptabilité Un montant de <strong>{amount}</strong> a été transféré dans votre compte {payment}.</p><p>Vous pouvez accéder à votre magasin pour voir plus d'informations dans <a href=""{shop_url}"">{shop_name}</a></ p>"
seller-payment-request;Nouvelle demande de paiement;Ce courrier électronique est envoyé à l'administrateur lorsqu'un vendeur effectue une demande de transfert de commission.;"<p>Nouvelle demande de paiement de commissions. Le vendeur {seller_name} souhaite recevoir un montant de <strong>{montant}</strong> dans votre compte {paiement}.</p><p>Vous pouvez accéder à votre magasin pour le valider dans <a href={shop_url}"">{shop_name}</a></p>"
seller-order-changed;Commande {order_reference} mise à jour;Cet email est envoyé à l'administrateur lorsqu'un vendeur change le statut de sa commande.;"<p>Le vendeur {seller_name} a changé le statut de votre commande <strong> {order_reference} </ strong> à partir de votre compte vendeur.</p><p>Vous pouvez accéder à votre magasin pour l'examiner <a href=""{shop_url}"">{shop_name}</a></p>"
