IDP;Model;Capacity;Color;Grade;Smarter prestashop reference;Sundevice reference
80096;iPad mini 2 Cellular;32;Silver;Grade B;125-MED9176;
80240;iPad Air 2 Cellular;64;Grey;Grade A;123-PRE9104;
80241;iPad Air 2 Cellular;64;Grey;Grade B;123-MED9113;
80242;iPad Air 2 Cellular;64;Grey;Grade C;123-BAS9122;
80252;iPad Air 2 Cellular;64;Silver;Grade C;123-BAS9119;
80706;iPad mini 2 Wifi;16;Silver;Grade B;75-MED10878;
80707;iPad mini 2 Wifi;16;Silver;Grade A;75-PRE10879;
80771;iPad mini 2 Wifi;128;Silver;Grade C;75-BAS10889;
80772;iPad mini 2 Wifi;128;Silver;Grade B;75-MED10890;
80776;iPad mini 2 Cellular;128;Grey;Grade C;125-BAS9175;
80777;iPad mini 2 Cellular;128;Grey;Grade B;125-MED9179;
80781;iPad mini 2 Wifi;64;Silver;Grade C;75-BAS10881;
80782;iPad mini 2 Wifi;64;White;Grade B;75-MED10882;
80786;iPad mini 2 Wifi;64;Grey;Grade C;75-BAS10885;
80790;iPad mini 3 Wifi;16;Gold;Grade D;609-GOL10586;
80791;iPad mini 3 Wifi;16;Gold;Grade C;609-GOL10598;
80795;iPad mini 3 Wifi;16;Silver;Grade D;609-ECO10578;
80796;iPad mini 3 Wifi;16;Silver;Grade C;609-BAS10590;
80797;iPad mini 3 Wifi;16;Silver;Grade B;609-MED10602;
80800;iPad mini 3 Wifi;16;Grey;Grade D;609-ECO10582;
80801;iPad mini 3 Wifi;16;Grey;Grade C;609-BAS10594;
80802;iPad mini 3 Wifi;16;Grey;Grade B;609-MED10606;
80820;iPad mini 3 Wifi;64;Gold;Grade D;609-GOL10588;
80821;iPad mini 3 Wifi;64;Gold;Grade C;609-GOL10600;
80822;iPad mini 3 Wifi;64;Gold;Grade B;609-GOL10612;
80826;iPad mini 3 Wifi;64;Silver;Grade C;609-BAS10592;
80830;iPad mini 3 Wifi;64;Grey;Grade D;609-ECO10584;
80831;iPad mini 3 Wifi;64;Grey;Grade C;609-BAS10596;
80832;iPad mini 3 Wifi;64;Grey;Grade B;609-MED10608;
80836;iPad mini 3 Wifi;128;Grey;Grade C;609-BAS10593;
80837;iPad mini 3 Wifi;128;Grey;Grade B;609-MED10605;
80838;iPad mini 3 Wifi;128;Grey;Grade A;609-PRE10617;
80840;iPad mini 3 Wifi;128;Silver;Grade D;609-ECO10577;
80841;iPad mini 3 Wifi;128;Silver;Grade C;609-BAS10589;
80842;iPad mini 3 Wifi;128;Silver;Grade B;609-MED10601;
80845;iPad mini 3 Wifi;128;Gold;Grade D;609-GOL10585;
80846;iPad mini 3 Wifi;128;Gold;Grade C;609-GOL10597;
80847;iPad mini 3 Wifi;128;Gold;Grade B;609-GOL10609;
80850;iPad mini 4 Wifi;128;Silver;Grade D;126-ECO10625;
80851;iPad mini 4 Wifi;128;Silver;Grade C;126-BAS10637;
80852;iPad mini 4 Wifi;128;Silver;Grade B;126-MED10649;
80855;iPad mini 4 Wifi;128;Gold;Grade D;126-GOL10629;
80856;iPad mini 4 Wifi;128;Gold;Grade C;126-GOL10641;
