reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
106-JAC8707;;14579;;0;;New
18-BAS7043;;31180;iPhone 6S;16;Silver;C
18-BAS7044;;74815;iPhone 6S;32;Silver;C
18-BAS7045;;33291;iPhone 6S;64;Silver;C
18-BAS7046;;43918;iPhone 6S;128;Silver;C
18-BAS7047;;31178;iPhone 6S;16;Grey;C
18-BAS7048;;74798;iPhone 6S;32;Grey;C
18-BAS7049;;33259;iPhone 6S;64;Grey;C
18-BAS7050;;43914;iPhone 6S;128;Grey;C
18-BAS7055;;31182;iPhone 6S;16;Pink;C
18-BAS7056;;74805;iPhone 6S;32;Pink;C
18-BAS7057;;33316;iPhone 6S;64;Pink;C
18-BAS7058;;43903;iPhone 6S;128;Pink;C
18-ECO7059;;26387;iPhone 6S;16;Silver;D
18-ECO7060;;74816;iPhone 6S;32;Silver;D
18-ECO7061;;33293;iPhone 6S;64;Silver;D
18-ECO7062;;43919;iPhone 6S;128;Silver;D
18-ECO7063;;31214;iPhone 6S;16;Grey;D
18-ECO7064;;74799;iPhone 6S;32;Grey;D
18-ECO7065;;33265;iPhone 6S;64;Grey;D
18-ECO7066;;43915;iPhone 6S;128;Grey;D
18-ECO7071;;31253;iPhone 6S;16;Pink;D
18-ECO7072;;74806;iPhone 6S;32;Pink;D
18-ECO7073;;33318;iPhone 6S;64;Pink;D
18-ECO7074;;43904;iPhone 6S;128;Pink;D
18-GOL7019;;31009;iPhone 6S;16;Gold;A
18-GOL7020;;74808;iPhone 6S;32;Gold;A
18-GOL7021;;49225;iPhone 6S;64;Gold;A
18-GOL7022;;51204;iPhone 6S;128;Gold;A
18-GOL7035;;38975;iPhone 6S;16;Gold;B
18-GOL7036;;74809;iPhone 6S;32;Gold;B
18-GOL7037;;39252;iPhone 6S;64;Gold;B
18-GOL7038;;43933;iPhone 6S;128;Gold;B
18-GOL7051;;30743;iPhone 6S;16;Gold;C
18-GOL7052;;74810;iPhone 6S;32;Gold;C
18-GOL7053;;33280;iPhone 6S;64;Gold;C
18-GOL7054;;43932;iPhone 6S;128;Gold;C
18-GOL7067;;31013;iPhone 6S;16;Gold;D
18-GOL7068;;74811;iPhone 6S;32;Gold;D
18-GOL7069;;33283;iPhone 6S;64;Gold;D
18-GOL7070;;43934;iPhone 6S;128;Gold;D
18-MED7027;;26386;iPhone 6S;16;Silver;B
18-MED7028;;74814;iPhone 6S;32;Silver;B
18-MED7029;;38582;iPhone 6S;64;Silver;B
18-MED7030;;43917;iPhone 6S;128;Silver;B
18-MED7031;;31208;iPhone 6S;16;Grey;B
18-MED7032;;74797;iPhone 6S;32;Grey;B
18-MED7033;;41182;iPhone 6S;64;Grey;B
18-MED7034;;43913;iPhone 6S;128;Grey;B
18-MED7039;;31252;iPhone 6S;16;Pink;B
18-MED7040;;74803;iPhone 6S;32;Pink;B
18-MED7041;;33310;iPhone 6S;64;Pink;B
18-MED7042;;43901;iPhone 6S;128;Pink;B
18-PRE7011;;7207;iPhone 6S;16;Silver;A
18-PRE7012;;74813;iPhone 6S;32;Silver;A
18-PRE7013;;33289;iPhone 6S;64;Silver;A
18-PRE7014;;51805;iPhone 6S;128;Silver;A
18-PRE7015;;33282;iPhone 6S;16;Grey;A
18-PRE7016;;74795;iPhone 6S;32;Grey;A
18-PRE7017;;51806;iPhone 6S;64;Grey;A
18-PRE7018;;51807;iPhone 6S;128;Grey;A
18-PRE7023;;31261;iPhone 6S;16;Pink;A
18-PRE7024;;74802;iPhone 6S;32;Pink;A
18-PRE7025;;37356;iPhone 6S;64;Pink;A
18-PRE7026;;51808;iPhone 6S;128;Pink;A
19-BAS7091;;27996;iPhone 4S;8;Black;C
19-BAS7092;;7127;iPhone 4S;16;Black;C
19-BAS7093;;19571;iPhone 4S;32;Black;C
19-BAS7095;;16271;iPhone 4S;8;White;C
19-BAS7096;;7064;iPhone 4S;16;White;C
19-BAS7097;;19575;iPhone 4S;32;White;C
19-ECO7099;;29398;iPhone 4S;8;Black;D
19-ECO7100;;37573;iPhone 4S;16;Black;D
19-ECO7101;;19584;iPhone 4S;32;Black;D
19-ECO7103;;20485;iPhone 4S;8;White;D
19-ECO7104;;30501;iPhone 4S;16;White;D
