reference;subject;description;content
welcome-seller;Benvenuto a {shop_name};Questa email viene inviata al venditore quando l'account del tuo venditore è stato creato correttamente.;"<p>Benvenuto <strong>{seller_name}</strong>!</p><p>Grazie per creare un account venditore in {shop_name}!</p><p>Il tuo account del venditore è stato creato correttamente su <a href=""{shop_url}"">{shop_name}</a></p>"
new-seller;Nuovo venditore registrato;Questa email viene inviata all'amministratore quando un cliente si registra come venditore.;"<p>Nuovo cliente registrato come venditore.</p><p>Dettagli del venditore:</p><p>Nome: {seller_name}</p><p>Shop: {seller_shop}</p><p>Accedi al tuo negozio per attivare il nuovo account venditore <a href=""{shop_url}"">{shop_name}</a></p>"
edit-seller;"""{seller_name}"" ha cambiato il profilo del venditore";Questa email viene inviata all'amministratore quando un venditore ha cambiato il informazioni del tuo account venditore.;"<p><strong>{seller_name}</strong> ha cambiato il profilo del venditore.</p><p>Accedi al tuo negozio per validare le modifiche <a href=""{shop_url}"">{shop_name}</a></p>"
seller-activated;Il tuo conto del venditore è stato accettato;Questa email viene inviata al venditore quando il tuo conto del venditore è stato accettato.;"<p>Il tuo account del venditore è stato attivato.</p><p>Ora puoi iniziare ad aggiungere i tuoi prodotti a <a href=""{shop_url}"">{shop_name}</a></p>"
seller-desactivated;Il tuo conto del venditore è stato rifiutato;Questa email viene inviata al venditore quando il tuo account del venditore è stato rifiutato o disattivato.;<p>Il tuo conto del venditore è stato rifiutato in <strong>{shop_name}</strong></p><p>{reasons}</p>
new-product;"""{seller_name}"" ha aggiunto un nuovo prodotto";Questa email viene inviata all'amministratore Quando un venditore aggiunge un nuovo prodotto.;"<p><strong>{seller_name}</strong> ha aggiunto un nuovo prodotto: <strong>{product_name}</strong>.</p><p>Puoi accedere al tuo negozio per gestirlo in <a href=""{shop_url}"">{shop_name}</a></p>"
product-activated;"""{product_name}"" e stato accettato";Questa email viene inviata al venditore quando il prodotto è stato accettato.;"<p>Il tuo prodotto <strong>{nome_dimente}</ strong> è stato accettato per la vendita.</p><p>Ora disponibile in <a href=""{shop_url}"">{shop_name}</a></p>"
product-desactivated;"""{product_name}"" è stato rifiutato";Questa email viene inviata al venditore quando il prodotto è stato rifiutato.;<p>Il tuo prodotto <strong>{product_name}</strong> è stato rifiutato in <strong>{shop_name}</strong></p><p>{reasons}</p>
edit-product;"""{seller_name}"" ha modificato il suo prodotto";Questa email viene inviata all'amministratore quando un venditore ha modificato un prodotto.;"<p><strong>{seller_name}</strong> ha modificato il prodotto ""{product_name}"".</p><p>Puoi accedere al tuo negozio per accettarlo in <a href=""{shop_url}"">{shop_name}</a></p>"
new-order;"Nuevo ordine. ""{product_name}"" - {order_reference}";Questa email viene inviata al venditore quando il prodotto è stato acquistato da un cliente.;"<p>Ciao <strong>{seller_name}</strong>!</p><p>Complimenti! <strong>{product_name}</strong> è stato acquistato da un cliente nel negozio <strong>{shop_name}</strong>.</p><p>Controlla il tuo account del venditore in <a href=""{shop_url}"">{shop_name}</a></p>"
new-incidence;"Nuovo incidenza ricevuto su richiesta ""{order_reference}""";Questa email viene inviata al venditore quando un cliente ha problemi con un ordine.;"<p>C'è stato un nuovo incidente sull'ordine <strong>{order_reference}</strong>:</p><p>{description}</p><p>Accedi al tuo account venditore per rispondere <a href=""{shop_url}"">{shop_name}</a></p>"
new-message;"Nuovo messaggio ricevuto circa";Questa email viene inviata al venditore quando un cliente desidera conoscere ulteriori informazioni su un prodotto.;"<p>Hai ricevuto un nuovo messaggio con riferimento <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Accedi al tuo account venditore per rispondere <a href=""{shop_url}"">{shop_name}</a></p>"
new-response-seller;"Nuova risposta al tuo messaggio con il riferimento ""{incidence_reference}""";Questa email viene inviata al cliente quando il venditore risponde ad un messaggio precedente.;"<p>Una nuova risposta al messaggio con riferimento <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Accedi al tuo account per esaminare la tua storia del messaggio <a href=""{shop_url}"">{shop_name}</a></p>"
new-response-customer;"Nuova risposta dei clienti sul messaggio con riferimento ""{incidence_reference}""";Questa email viene inviata al venditore quando il cliente risponde a un messaggio precedente.;"<p>C'è una nuova risposta del cliente nel messaggio con riferimento <strong>{incidence_reference}</strong>:</p><p>{description}</p><p>Accedi all\'account del tuo venditore per dare una risposta <a href=""{shop_url}"">{shop_name}</a></p>"
new-comment-admin;"Nuovo commento ricevuto in ""{seller_name}""";Questa email viene inviata all'amministratore quando un cliente valuta il grado di soddisfazione di un venditore.;"<p>Nuovo commento ricevuto il venditore <strong>{seller_name}</strong>:</p><p>Soddisfazione: {grade}/5</p><p>{comment}</p><p>Accedi al tuo negozio per convalidare <a href=""{shop_url}"">{shop_name}</a></p>"
new-comment-seller;Nuovo commento ricevuto;Questa mail viene inviata al venditore quando un cliente valuta il grado di soddisfazione di un venditore o quando il admininistrador convalida un commento.;"<p>Nuovo commento ricevuto:</p><p>Soddisfazione: {grade}/5</p><p>{comment}</p><p>Puoi vederlo in <a href=""{shop_url}"">{shop_name}</a></p>"
seller-transfer-accepted;La richiesta di pagamento è stata accettata;Questa email viene inviata al venditore quando un amministratore accetta un trasferimento di richiesta di commissioni.;"<p>La tua richiesta di pagamento è stata convalidata dal nostro team di contabilità. <strong>{amount}</strong> è stata trasferita nel tuo account {payment}.</p><p>Puoi accedere al tuo negozio per vedere ulteriori informazioni in <a href=""{shop_url}"">{shop_name}</a></ p>"
seller-payment-request;Nuova richiesta di pagamento;Questa email viene inviata all'amministratore quando un venditore effettua una richiesta di trasferimento di commissione.;"<p>Nuova richiesta di pagamento delle commissioni. Il venditore {seller_name} desidera ricevere una quantità di <strong>{amount}</strong> nel tuo account {payment}.</p><p>È possibile accedere al tuo negozio per convalidarlo <a href={shop_url}"">{shop_name}</a></p>"
seller-order-changed;Ordine {ordine_reference} aggiornato;Questa email viene inviata all'amministratore quando un venditore modifica lo stato del suo ordine.;"<p>Il venditore {seller_name} ha modificato lo stato del tuo ordine <strong>{order_reference}</strong> dall'account del tuo venditore.</p><p>Puoi accedere al tuo negozio per esaminarlo <a href=""{shop_url}"">{shop_name}</a></p>"
